k,avgFlow,avgTime,avgAugmentingPaths
1,1.0,2.6469499999999997e-6,2.0
2,2.375,4.777400000000001e-6,3.0
3,4.95,1.4831699999999999e-5,5.075
4,8.95,6.444627499999997e-5,7.9
5,13.25,0.0004324563,11.6
6,19.15,0.0027180459499999998,15.775
7,25.025,0.011494995975000002,19.925
8,31.1,0.104923770875,24.925
9,38.625,1.1375617994,30.6
